"SID","lat","lon","elev","name"
50774,47.7167,128.9,232,"YICHUN"
50953,45.75,126.7667,143,"HARBIN"
51777,39.0333,88.1667,889,"RUOQIANG"
51839,37.0667,82.7167,1409,"MINFENG"
52203,42.8167,93.5167,739,"HAMI"
52267,41.95,101.0667,941,"EJIN QI"
52418,40.15,94.6833,1140,"DUNHUANG"
52681,38.6333,103.0833,1369,"MINQIN"
52866,36.6167,101.7667,2296,"XINING"
53513,40.7333,107.3667,1042,"LINHE"
53614,38.4667,106.2,1112,"YINCHUAN"
53915,35.55,106.6667,1348,"PINGLIANG"
54135,43.6,122.2667,180,"TONGLIAO"
54161,43.9,125.2167,238,"CHANGCHUN"
54292,42.8667,129.5,258,"YANJI"
54662,38.9,121.6333,97,"DALIAN"
56029,33,96.9667,3717.7,"YUSHU"
56146,31.6167,100,3394,"GARZE"
56739,25.1167,98.4833,1649,"TENGCHONG"
56964,22.7667,100.9833,1303,"SIMAO"
57461,30.7,111.3,134,"YICHANG"
57749,27.5667,110,261,"HUAIHUA"
57957,25.3333,110.3,166,"GUILIN"
57972,25.8,113.0333,185,"CHENZHOU"
58633,28.9667,118.8667,71,"QU XIAN"
58665,28.6167,121.4167,2,"HONGJIA"
58847,26.0833,119.2833,85,"FUZHOU"
59211,23.9,106.6,177,"BAISE"
59316,23.4,116.6833,3,"SHANTOU"
59758,20,110.25,64,"HAIKOU"
59981,16.8333,112.3333,5,"XISHA DAO"
60018,28.3183,-16.3822,111,"TENERIFE-GUIMAR"
60155,33.5667,-7.6667,57,"CASABLANCA"
60191,32.3667,-6.4,472,"BENI-MELLAL"
60390,36.6833,3.2167,29,"DAR-EL-BEIDA"
60571,31.5,-2.25,816,"BECHAR"
60630,27.2333,2.5,269,"IN-SALAH"
60656,27.7,-8.1667,439,"TINDOUF"
60680,22.8,5.4333,1364,"TAMANRASSET"
60715,36.8333,10.2333,4,"TUNIS-CARTHAGE"
61024,16.9667,7.9833,502,"AGADEZ"
61052,13.4833,2.1667,227,"NIAMEY-AERO"
61901,-15.9419,-5.6672,436,"ST. HELENA IS."
61980,-20.8925,55.5286,13,"SAINT-DENIS/GILLOT (REUNION)"
61998,-49.3522,70.2433,30,"PORT-AUX-FRANCAIS (ILES KERGUELEN)"
62306,31.3253,27.2217,30,"MERSA MATRUH"
62378,29.8628,31.3492,140.7,"HELWAN"
62403,26.2003,32.7467,77.3,"SOUTH OF VALLEY UNIVERSITY"
62414,23.9644,32.82,194,"ASSWAN"
63741,-1.3036,36.7597,1798.32,"DAGORETTI CORNER"
63985,-4.6833,55.5167,4,"SEYCHELLES INTER. AIRPORT (RAWINSONDE STATION)"
64400,-4.8167,11.9,17,"POINTE-NOIRE"
65503,12.35,-1.5167,306,"OUAGADOUGOU"
65548,7.3833,-7.5167,340,"MAN"
65578,5.25,-3.9333,8,"ABIDJAN"
66160,-8.85,13.2333,70,"LUANDA"
68263,-25.91,28.2111,1526,"PRETORIA (IRENE)"
68442,-29.1,26.3,1353,"BLOEMFONTEIN AIRPORT"
68592,-29.6017,31.13,109,"KING SHAKA INT'L AIRPORT"
68816,-33.97,18.6,42,"CAPE TOWN INTNL. AIRPORT"
68842,-33.9844,25.6108,63,"PORT ELIZABETH"
70026,71.2889,-156.7833,11.9,"BARROW/W. POST W. ROGERS"
70133,66.8864,-162.6133,5,"KOTZEBUE, RALPH WIEN"
70200,64.5117,-165.4361,11.6,"NOME, AK"
70219,60.7778,-161.8439,44.2,"BETHEL/BETHEL AIRPORT, AK"
70231,62.9583,-155.5978,103,"MCGRATH, AK"
